Year,Mean_temp,Max_temp
2005,27.598558869789912,29.558055555555555
2006,28.226286195286196,29.65597222222222
2007,27.411743495643872,28.529583333333335
2008,27.698902297002082,29.110416666666666
2009,28.023181506849316,29.663055555555555
2010,27.906543043244696,29.660694444444445
2011,27.28435197869102,28.706805555555555
2012,27.80162568306011,29.639583333333334
2013,27.556066276042383,29.410138888888888
2014,27.834995814307458,29.000416666666666
2015,27.98413638057085,29.794444444444444
2016,28.18189806057634,30.063333333333333
2017,28.132448760790865,29.790555555555557
2018,28.053288314176246,29.748055555555556
2019,28.16644289193303,30.382916666666667
2020,28.172167805100184,30.083055555555557
2021,27.950040190795374,29.36388888888889
2022,27.618259028158295,29.147477916666666
2023,27.93429167288227,29.705698819444443
2024,28.047507050054104,30.056892569444443
2025,28.621424873880837,29.780739305555556
