Year,N_percent,C_percent,CN
2007,0.996,30.472,31.191
2008,0.944,27.285,29.551
2009,0.8555,29.21,34.34
2010,0.7722,28.4,37.05
2011,0.701,26.34,37.79
2012,0.764,26.77,35.68
2013,0.6755555555555556,24.68888888888889,36.6
2014,0.643,26.15,42.62
2015,0.796,26.778,33.798
2016,0.712,24.274,34.502
2017,0.596,26.069,44.215
2018,0.64,23.88,37.647999999999996
2019,0.478,21.657999999999998,45.716
2020,0.611,27.778,46.019
2021,0.548,25.291,46.589
2022,0.55,28.064,51.284
2023,0.522,24.658,47.5
2024,0.528,24.494,46.502
