Year,trophic_new,fish_g_m2
2006,Corallivore,1.3866583333333333
2006,Herbivores,12.469041666666667
2006,Other,24.785425
2007,Corallivore,1.3997000000000002
2007,Herbivores,5.549475
2007,Other,13.451133333333333
2008,Corallivore,0.9737583333333333
2008,Herbivores,4.031008333333333
2008,Other,5.118366666666667
2009,Corallivore,1.073
2009,Herbivores,8.637833333333333
2009,Other,8.277616666666667
2010,Corallivore,1.1659666666666668
2010,Herbivores,8.782575
2010,Other,6.358083333333333
2011,Corallivore,0.7089416666666667
2011,Herbivores,8.670316666666668
2011,Other,4.502775
2012,Corallivore,0.8261999999999999
2012,Herbivores,8.217766666666666
2012,Other,9.966733333333334
2013,Corallivore,1.0325583333333332
2013,Herbivores,9.087833333333332
2013,Other,9.175283333333333
2014,Corallivore,1.3838583333333334
2014,Herbivores,18.758924999999998
2014,Other,9.264508333333334
2015,Corallivore,0.472325
2015,Herbivores,19.697175
2015,Other,8.145083333333334
2016,Corallivore,0.88945
2016,Herbivores,19.626391666666667
2016,Other,13.471025
2017,Corallivore,0.33813333333333334
2017,Herbivores,17.731333333333332
2017,Other,6.553716666666666
2018,Corallivore,1.25725
2018,Herbivores,26.1604
2018,Other,7.328099999999999
2019,Corallivore,0.3015333333333333
2019,Herbivores,15.141358333333335
2019,Other,8.296841666666666
2020,Corallivore,0.12425
2020,Herbivores,20.483858333333334
2020,Other,5.855933333333334
2021,Corallivore,0.3776666666666667
2021,Herbivores,21.115666666666666
2021,Other,10.219683333333334
2022,Corallivore,0.40950000000000003
2022,Herbivores,17.659308333333332
2022,Other,7.901758333333333
2023,Corallivore,0.11033333333333334
2023,Herbivores,20.0082
2023,Other,8.677533333333333
2024,Corallivore,0.619575
2024,Herbivores,27.872575000000005
2024,Other,8.219816666666667
